,logFC,AveExpr,t,P.Value,adj.P.Val,B,g
GGA1,1.69528149041887,4.02789591814016,1.42096545992404,0.167358047434143,0.29351594189966,-5.70483844497609,stable
FKBP8,-1.08116726779949,1.54101254309341,-1.42056347282442,0.167473802761936,0.293695458427552,-5.70537974932928,stable
DBNL,-1.4433882170477,3.23687239748438,-1.42051229782697,0.167488543572196,0.293697813266627,-5.7054486507576,stable
PGA3,0.601214648987795,0.519389163765305,1.42030601747593,0.167547972498405,0.293778523847187,-5.70572636280904,stable
PIGK,-1.26492140447809,2.09784601627736,-1.42023591837681,0.167568171716938,0.293790441670559,-5.70582072832136,stable
LINC00559,0.934772807534081,0.847067296929408,1.41996767077546,0.16764548577885,0.293902486704908,-5.70618179934334,stable
RLBP1,0.111162088721632,0.121632809900065,1.41977494338285,0.167701050995508,0.293976388554382,-5.706441181544,stable
CMTM7,-1.18742619045741,1.31807532331407,-1.41962124510914,0.167745374229618,0.293992868280755,-5.70664801489482,stable
GON4L,1.37328840355376,3.53783947830659,1.41958556540119,0.167755664812669,0.293992868280755,-5.70669602671667,stable
DSC2,-1.0966665138348,1.10286916368747,-1.41956945117242,0.167760312571632,0.293992868280755,-5.7067177102309,stable
GPRC5A,-1.28913701866773,6.82024276891534,-1.41955632745344,0.167764097866154,0.293992868280755,-5.70673536952157,stable
BNIPL,0.701087815112791,0.77332796433124,1.41948113733456,0.167785786377834,0.294007371957513,-5.70683654274633,stable
ABCA12,-0.339897367751518,0.218242478927606,-1.41914385492015,0.167883102580415,0.294154383475763,-5.70729032211507,stable
FANK1,0.188851432541735,0.173425705780134,1.41908559291854,0.167899917480393,0.294160333366983,-5.70736869843623,stable
TCF7L2,-1.54598175036817,2.58890633929318,-1.41903704896081,0.1679139286947,0.294161370647847,-5.70743399957075,stable
SLC27A3,1.48980867185269,1.94968514644005,1.41849539147072,0.168070330062744,0.294411835169043,-5.70816250588362,stable
VIPR2,0.580471945546054,0.812587438163592,1.41843062161467,0.168089039843533,0.294421082094294,-5.70824960272051,stable
NDNF,0.690197361380927,0.619071060907738,1.41822664316548,0.168147973013685,0.294500776320949,-5.70852387294859,stable
LINC00028,1.37483354792853,0.964080449371333,1.41769972316732,0.168300286045175,0.294743993800135,-5.70923221604546,stable
BARHL1,0.111364130755907,0.121767504589581,1.41743161583263,0.168377828028091,0.294856236475777,-5.70959254891167,stable
FSCN3,1.27174311442554,1.16090986654899,1.41733646086482,0.168405355568542,0.294880885008229,-5.70972042201502,stable
C21orf59,-1.17705551879687,1.55534306205634,-1.41722603295417,0.168437305929187,0.294908167417652,-5.70986881034275,stable
MIR4750,-1.45186139980483,0.58371587152602,-1.41718961836865,0.168447842901164,0.294908167417652,-5.70991774055217,stable
ERICH1-AS1,0.194468213573149,0.177170226467743,1.41707224712183,0.168481809164609,0.294944077519358,-5.71007544477807,stable
MUC20,-1.44789276195888,3.01467868943815,-1.41673729703929,0.168578770873139,0.295090252839581,-5.71052543450856,stable
TINF2,-1.36997969329881,2.51049385689601,-1.41652139008246,0.168641295356095,0.295168973557723,-5.71081544730393,stable
S100A3,0.815052719156116,0.590893230189721,1.4164890144987,0.168650672588408,0.295168973557723,-5.71085893192377,stable
CACNG7,0.133229851380172,0.136344651672425,1.41635232854152,0.168690266743143,0.295207501630911,-5.71104250959973,stable
KCP,1.18260945887085,1.94643935146787,1.41628251741927,0.168710491951258,0.295207501630911,-5.71113626441708,stable
DPH3P1,1.30001996650581,1.20833065338902,1.41627356055229,0.168713087013916,0.295207501630911,-5.7111482930092,stable
ZFP36,-1.63311663925296,2.27088652021437,-1.41601345276419,0.168788461579079,0.29531581660747,-5.71149757552613,stable
ANXA2R,0.95820070792033,0.924402779461297,1.41581505733592,0.168845970999137,0.295392859558825,-5.71176395158567,stable
OR6C2,0.103603477820486,0.116593735965968,1.41575696839112,0.168862812345525,0.295398747859409,-5.71184193881107,stable
POU1F1,0.136121414353659,0.138272360321416,1.4156121028013,0.168904818090313,0.295448652837356,-5.71203641600144,stable
ZFP90,0.862197515766302,0.737801559609813,1.41525607707054,0.169008087863211,0.295605586127695,-5.712514296474,stable
TENM4,0.68418599256733,0.627659727456877,1.4152098329137,0.16902150524723,0.295605586127695,-5.71257636081117,stable
PEX26,1.05649469212213,1.87628380413264,1.41497012671322,0.169091067708927,0.295703653390299,-5.71289804306119,stable
WDYHV1,-1.52922294691677,1.99879721933691,-1.41489906559218,0.169111693934295,0.295716132955782,-5.71299339712451,stable
ANKRD50,0.575432956507965,0.50409808300445,1.41480255634158,0.169139709943295,0.295741531599822,-5.71312289246902,stable
CHORDC1,-1.3713400356143,2.73157628328446,-1.4144998357492,0.169227611689036,0.295871628316746,-5.71352903166392,stable
ZNF700,-0.529032454917874,0.644647501123511,-1.4144018538687,0.169256070708683,0.295897784991231,-5.71366047126557,stable
AMHR2,0.111675590820372,0.121975144632559,1.41384769373454,0.169417099113699,0.296155680197082,-5.71440371339365,stable
MIR4700,-1.34028853642624,0.54652491706649,-1.41348665366841,0.169522075943358,0.296315559106479,-5.71488780829954,stable
UPF2,1.569720144772,4.28611793690527,1.41295185796268,0.169677669284983,0.296563880433433,-5.71560468684758,stable
NLN,0.93896882229764,1.97542344461054,1.41227381178252,0.169875102896321,0.296885285066592,-5.71651325575804,stable
LINC00575,-0.128731013977801,0.164140597435317,-1.41218847823825,0.169899963250103,0.296905061735132,-5.7166275747047,stable
GBP3,-1.17402416523419,1.63628943882716,-1.41197792520022,0.169961316349346,0.296988602287287,-5.71690962145911,stable
USP6,0.458791614661579,0.524217443294547,1.41172144127233,0.170036077022607,0.297095555907267,-5.71725314653177,stable
