model,gene,auc
166,TRIP10 + NGFR + SPAG4 + RSPO4 + SRMS,0.682722228
167,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1,0.717245768
168,TRIP10 + NGFR + SPAG4 + GDI1 + FOLR1,0.66342192
169,TRIP10 + NGFR + SPAG4 + GDI1 + SRMS,0.681488411
170,TRIP10 + NGFR + SPAG4 + SLC48A1 + FOLR1,0.705744075
171,TRIP10 + NGFR + SPAG4 + SLC48A1 + SRMS,0.717245768
172,TRIP10 + NGFR + SPAG4 + FOLR1 + SRMS,0.677596709
173,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1,0.705614594
174,TRIP10 + NGFR + RSPO4 + GDI1 + FOLR1,0.646896799
175,TRIP10 + NGFR + RSPO4 + GDI1 + SRMS,0.675885817
176,TRIP10 + NGFR + RSPO4 + SLC48A1 + FOLR1,0.691913324
177,TRIP10 + NGFR + RSPO4 + SLC48A1 + SRMS,0.725107664
178,TRIP10 + NGFR + RSPO4 + FOLR1 + SRMS,0.673084181
179,TRIP10 + NGFR + GDI1 + SLC48A1 + FOLR1,0.695916692
180,TRIP10 + NGFR + GDI1 + SLC48A1 + SRMS,0.726325305
181,TRIP10 + NGFR + GDI1 + FOLR1 + SRMS,0.672783383
182,TRIP10 + NGFR + SLC48A1 + FOLR1 + SRMS,0.714992136
183,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.674602983
184,TRIP10 + SPAG4 + RSPO4 + GDI1 + FOLR1,0.614923121
185,TRIP10 + SPAG4 + RSPO4 + GDI1 + SRMS,0.642231208
186,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.650546319
187,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.674602983
188,TRIP10 + SPAG4 + RSPO4 + FOLR1 + SRMS,0.630171141
189,TRIP10 + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.651910345
190,TRIP10 + SPAG4 + GDI1 + SLC48A1 + SRMS,0.667247903
191,TRIP10 + SPAG4 + GDI1 + FOLR1 + SRMS,0.625377623
192,TRIP10 + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.651910345
193,TRIP10 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.650546319
194,TRIP10 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.681574601
195,TRIP10 + RSPO4 + GDI1 + FOLR1 + SRMS,0.630171141
196,TRIP10 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.666775984
197,TRIP10 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.659736273
198,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.672049497
199,NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1,0.639766946
200,NGFR + SPAG4 + RSPO4 + GDI1 + SRMS,0.641485473
201,NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.661559012
202,NGFR + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.692742211
203,NGFR + SPAG4 + RSPO4 + FOLR1 + SRMS,0.632528263
204,NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.688436444
205,NGFR + SPAG4 + GDI1 + SLC48A1 + SRMS,0.69643592
206,NGFR + SPAG4 + GDI1 + FOLR1 + SRMS,0.657733079
207,NGFR + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.691844909
208,NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.66775729
209,NGFR + RSPO4 + GDI1 + SLC48A1 + SRMS,0.686972688
210,NGFR + RSPO4 + GDI1 + FOLR1 + SRMS,0.654482162
211,NGFR + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.683298018
212,NGFR + GDI1 + SLC48A1 + FOLR1 + SRMS,0.687693637
