model,gene,auc,cluster,numGenes
220,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1,0.66074514,cluster_8,6
221,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SRMS,0.682722228,cluster_8,6
222,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.700760361,cluster_8,6
223,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.723646299,cluster_8,6
224,TRIP10 + NGFR + SPAG4 + RSPO4 + FOLR1 + SRMS,0.673084181,cluster_8,6
225,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.705744075,cluster_8,6
226,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + SRMS,0.717245768,cluster_8,6
227,TRIP10 + NGFR + SPAG4 + GDI1 + FOLR1 + SRMS,0.677596709,cluster_8,6
228,TRIP10 + NGFR + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.714515372,cluster_8,6
229,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.691913324,cluster_8,6
230,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + SRMS,0.725107664,cluster_8,6
231,TRIP10 + NGFR + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084181,cluster_8,6
232,TRIP10 + NGFR + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,6
233,TRIP10 + NGFR + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714992136,cluster_8,6
234,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.650546319,cluster_8,6
235,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.674602983,cluster_8,6
236,TRIP10 + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.630171141,cluster_8,6
237,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.666775984,cluster_8,6
238,TRIP10 + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.651910345,cluster_8,6
239,TRIP10 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984,cluster_8,6
240,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.66775729,cluster_6,6
241,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.692742211,cluster_6,6
242,NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.654482162,cluster_6,6
243,NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.683298018,cluster_6,6
244,NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.691844909,cluster_6,6
245,NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.683298018,cluster_6,6
246,SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.653718172,cluster_8,6
247,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.700760361,cluster_8,7
248,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.723646299,cluster_8,7
249,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084181,cluster_8,7
250,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,7
251,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714515372,cluster_8,7
252,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,7
253,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984,cluster_8,7
254,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.683298018,cluster_6,7
255,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.710325724,cluster_8,8
