sample	segment_count	included
TCGA-CK-5915-01A-11D-1649-01	241	yes
TCGA-AA-A02W-01A-01D-A008-01	332	yes
TCGA-A6-5661-01A-01D-1649-01	83	yes
TCGA-AZ-4313-01A-01D-1406-01	99	yes
TCGA-AA-A01D-01A-01D-A008-01	152	yes
TCGA-AA-3846-01A-01D-1018-01	177	yes
TCGA-G4-6320-01A-11D-1717-01	120	yes
TCGA-G4-6323-01A-11D-1717-01	76	yes
TCGA-AA-3522-01A-01D-1549-01	203	yes
TCGA-AA-3522-01A-01D-0819-01	135	yes
TCGA-CM-6166-01A-11D-1649-01	130	yes
TCGA-G4-6314-01A-11D-1717-01	136	yes
TCGA-F4-6463-01A-11D-1717-01	46	yes
TCGA-AA-3870-01A-01D-1018-01	343	yes
TCGA-AA-3818-01A-01D-0903-01	201	yes
TCGA-A6-4107-01A-02D-1549-01	207	yes
TCGA-CK-4948-01B-11D-1649-01	173	yes
TCGA-CM-6165-01A-11D-1649-01	84	yes
TCGA-AA-A02Y-01A-43D-A080-01	71	yes
TCGA-AA-3947-01A-01D-1018-01	104	yes
TCGA-CK-6746-01A-11D-1834-01	322	yes
TCGA-G4-6299-01A-11D-1770-01	255	yes
TCGA-NH-A6GC-01A-12D-A40O-01	113	yes
TCGA-AZ-6600-01A-11D-1770-01	170	yes
TCGA-CK-6747-01A-11D-1834-01	57	yes
TCGA-AA-3560-01A-01D-0819-01	266	yes
TCGA-QL-A97D-01A-12D-A40O-01	273	yes
TCGA-CM-6676-01A-11D-1834-01	78	yes
TCGA-F4-6809-01A-11D-1834-01	263	yes
TCGA-AA-A01V-01A-23D-A080-01	44	yes
TCGA-AU-6004-01A-11D-1717-01	80	yes
TCGA-DM-A280-01A-12D-A16U-01	55	yes
TCGA-AZ-4682-01B-01D-1406-01	266	yes
TCGA-CM-4746-01A-01D-1406-01	113	yes
TCGA-5M-AATE-01A-11D-A40O-01	353	yes
TCGA-QG-A5YW-01A-11D-A28F-01	109	yes
TCGA-F4-6570-01A-11D-1770-01	209	yes
TCGA-D5-5538-01A-01D-1649-01	141	yes
TCGA-CM-6679-01A-11D-1834-01	121	yes
TCGA-CM-5348-01A-21D-1717-01	171	yes
TCGA-AD-6963-01A-11D-1923-01	340	yes
TCGA-CM-6674-01A-11D-1834-01	44	yes
TCGA-A6-4107-01A-02D-1406-01	218	yes
TCGA-AA-A00N-01A-02D-A008-01	44	yes
TCGA-AA-3966-01A-01D-1427-01	240	yes
TCGA-AZ-4308-01A-01D-1406-01	277	yes
TCGA-AA-A02O-01A-21D-A080-01	245	yes
TCGA-AA-3678-01A-01D-0903-01	122	yes
TCGA-AZ-4615-01A-01D-1406-01	96	yes
TCGA-CM-6169-01A-11D-1649-01	79	yes
TCGA-F4-6704-01A-11D-1834-01	266	yes
TCGA-CA-5796-01A-01D-1649-01	49	yes
TCGA-5M-AAT5-01A-21D-A40O-01	401	yes
TCGA-AA-3529-01A-02D-1549-01	223	yes
TCGA-AA-3562-01A-02D-0819-01	220	yes
TCGA-A6-2684-01C-08D-A274-01	68	yes
TCGA-A6-2684-01A-01D-1549-01	95	yes
TCGA-D5-6531-01A-11D-1717-01	185	yes
TCGA-AA-3673-01A-01D-0903-01	289	yes
TCGA-A6-5664-01A-21D-1834-01	87	yes
TCGA-A6-2678-01A-01D-0819-01	209	yes
TCGA-DM-A1D9-01A-11D-A151-01	256	yes
TCGA-AA-A03J-01A-21D-A080-01	153	yes
TCGA-D5-6929-01A-31D-1923-01	366	yes
TCGA-AA-A01Q-01A-01D-A003-01	186	yes
TCGA-D5-6930-01A-11D-1923-01	135	yes
TCGA-NH-A8F8-01A-72D-A40O-01	137	yes
TCGA-AA-3534-01A-01D-0819-01	58	yes
TCGA-AA-3558-01A-01D-0819-01	162	yes
TCGA-5M-AATA-01A-31D-A40O-01	133	yes
TCGA-AZ-6598-01A-11D-1770-01	286	yes
TCGA-AA-3979-01A-01D-1018-01	460	yes
TCGA-AA-3530-01A-01D-1018-01	109	yes
TCGA-A6-5659-01A-01D-1649-01	123	yes
TCGA-A6-6654-01A-21D-1834-01	263	yes
TCGA-AD-6964-01A-11D-1923-01	60	yes
TCGA-AA-3552-01A-01D-0819-01	228	yes
TCGA-AA-A004-01A-01D-A008-01	263	yes
TCGA-G4-6322-01A-11D-1717-01	341	yes
TCGA-AA-3821-01A-01D-1018-01	342	yes
TCGA-D5-5539-01A-01D-1649-01	197	yes
TCGA-AA-3542-01A-02D-0819-01	640	yes
TCGA-AA-3553-01A-01D-0819-01	100	yes
TCGA-AA-3519-01A-02D-1549-01	625	yes
TCGA-AA-3519-01A-02D-0819-01	317	yes
TCGA-AA-3531-01A-01D-0819-01	397	yes
TCGA-G4-6293-01A-11D-1717-01	49	yes
TCGA-F4-6856-01A-11D-1923-01	106	yes
TCGA-A6-2671-01A-01D-1549-01	407	yes
TCGA-G4-6628-01A-11D-1834-01	84	yes
TCGA-AA-3488-01A-01D-1406-01	730	yes
TCGA-AA-3517-01A-01D-1549-01	290	yes
TCGA-AA-3517-01A-01D-0819-01	326	yes
TCGA-A6-6781-01B-06D-A274-01	85	yes
TCGA-AD-6548-01A-11D-1834-01	179	yes
TCGA-AA-3685-01A-02D-0903-01	515	yes
TCGA-DM-A28C-01A-11D-A16U-01	51	yes
TCGA-AA-3555-01A-01D-0819-01	84	yes
TCGA-DM-A1D8-01A-11D-A151-01	201	yes
TCGA-CA-6716-01A-11D-1834-01	79	yes
TCGA-NH-A8F7-01A-11D-A40O-01	170	yes
TCGA-D5-5541-01A-01D-1649-01	136	yes
TCGA-CM-6675-01A-11D-1834-01	362	yes
TCGA-G4-6315-01A-11D-1717-01	83	yes
TCGA-AA-3543-01A-01D-0824-01	237	yes
TCGA-A6-6652-01A-11D-1770-01	166	yes
TCGA-A6-3807-01A-01D-1018-01	272	yes
TCGA-A6-2679-01A-02D-1549-01	147	yes
TCGA-AA-3496-01A-21D-1834-01	106	yes
TCGA-AA-3518-01A-02D-1549-01	256	yes
TCGA-NH-A6GB-01A-11D-A36W-01	592	yes
TCGA-A6-2678-01A-01D-1549-01	239	yes
TCGA-G4-6586-01A-11D-1770-01	99	yes
TCGA-AA-3855-01A-01D-1018-01	179	yes
TCGA-AA-A029-01A-01D-A008-01	66	yes
TCGA-AD-6888-01A-11D-1923-01	153	yes
TCGA-AY-A69D-01A-11D-A36W-01	224	yes
TCGA-AA-3851-01A-01D-1018-01	155	yes
TCGA-A6-2677-01A-01D-0819-01	412	yes
TCGA-AA-3976-01A-01D-1018-01	325	yes
TCGA-D5-6928-01A-11D-1923-01	63	yes
TCGA-QG-A5YX-01A-11D-A28F-01	102	yes
TCGA-T9-A92H-01A-11D-A36W-01	340	yes
TCGA-A6-2677-01A-01D-A274-01	207	yes
TCGA-4N-A93T-01A-11D-A36W-01	109	yes
TCGA-AZ-4616-01A-21D-1834-01	231	yes
TCGA-DM-A1D6-01A-21D-A151-01	317	yes
TCGA-DM-A288-01A-11D-A16U-01	190	yes
TCGA-AA-3655-01A-02D-1717-01	244	yes
TCGA-AA-3526-01A-02D-0819-01	179	yes
TCGA-AA-3869-01A-01D-1018-01	190	yes
TCGA-AA-3975-01A-01D-1018-01	347	yes
TCGA-AA-3524-01A-02D-0819-01	242	yes
TCGA-A6-5665-01A-01D-1649-01	161	yes
TCGA-AA-3520-01A-01D-1549-01	366	yes
TCGA-D5-6923-01A-11D-1923-01	412	yes
TCGA-D5-6932-01A-11D-1923-01	381	yes
TCGA-NH-A5IV-01A-42D-A36W-01	55	yes
TCGA-AA-3977-01A-01D-1018-01	285	yes
TCGA-AA-3831-01A-01D-0903-01	173	yes
TCGA-AA-3850-01A-01D-1018-01	614	yes
TCGA-AA-3848-01A-01D-0903-01	638	yes
TCGA-WS-AB45-01A-11D-A40O-01	74	yes
TCGA-CM-4751-01A-02D-1834-01	130	yes
TCGA-CM-6161-01A-11D-1649-01	53	yes
TCGA-A6-2672-01B-03D-2297-01	649	yes
TCGA-A6-A567-01A-31D-A28F-01	141	yes
TCGA-A6-2671-01A-01D-1406-01	376	yes
TCGA-A6-2685-01A-01D-1549-01	125	yes
TCGA-D5-6537-01A-11D-1717-01	292	yes
TCGA-AA-A00W-01A-01D-A003-01	168	yes
TCGA-AA-3525-01A-02D-1549-01	132	yes
TCGA-AA-3511-01A-21D-1834-01	146	yes
TCGA-A6-3810-01A-01D-A274-01	152	yes
TCGA-A6-3810-01B-04D-A274-01	200	yes
TCGA-AA-3712-01A-21D-1717-01	259	yes
TCGA-CA-5797-01A-01D-1649-01	216	yes
TCGA-CA-6717-01A-11D-1834-01	34	yes
TCGA-A6-6650-01B-02D-A274-01	196	yes
TCGA-A6-6650-01A-11D-1770-01	519	yes
TCGA-DM-A1DB-01A-11D-A151-01	370	yes
TCGA-AU-3779-01A-01D-1717-01	178	yes
TCGA-3L-AA1B-01A-11D-A36W-01	71	yes
TCGA-AA-3529-01A-02D-0819-01	176	yes
TCGA-AA-A024-01A-02D-A008-01	45	yes
TCGA-AZ-6606-01A-11D-1834-01	235	yes
TCGA-CM-6172-01A-11D-1649-01	249	yes
TCGA-A6-2679-01A-02D-1406-01	122	yes
TCGA-AA-A00E-01A-01D-A003-01	208	yes
TCGA-AY-A8YK-01A-11D-A40O-01	272	yes
TCGA-AM-5820-01A-01D-1649-01	709	yes
TCGA-CK-5914-01A-11D-1649-01	164	yes
TCGA-AA-A022-01A-21D-A080-01	113	yes
TCGA-AA-3941-01A-01D-1018-01	480	yes
TCGA-NH-A6GA-01A-11D-A36W-01	143	yes
TCGA-A6-A565-01A-31D-A28F-01	46	yes
TCGA-CM-6163-01A-11D-1649-01	149	yes
TCGA-A6-2677-01A-01D-1549-01	429	yes
TCGA-AA-3972-01A-01D-1018-01	334	yes
TCGA-F4-6459-01A-11D-1770-01	255	yes
TCGA-CK-6748-01A-11D-1834-01	203	yes
TCGA-AA-3860-01A-02D-0903-01	394	yes
