Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.A6.2684.01C.08R.A277.07	0.0411648787739189	0	0.00257257744479982	0.0200797641841862	0	0.237760612326556	0.0139564493501391	0.0493285330623234	0	0	0.0497462057581035	0	0.0120454674046391	0.0569577312591653	0.117065642949548	0.208540861071959	0.00137753778455058	0.041905035187329	0	0.0638583569252542	0.0656802268359006	0.017960119681628	0.029	0.193279171702816	1.00641448614352
TCGA.A6.2685.01A.01R.1410.07	0.0710557271170263	0	0.000935478117815937	0.0732689540987974	0	0.0744382925479935	0	0.0569426416802596	0.120430406608459	0	0	0	0	0.164923979269595	0.0187314342356712	0.193312759389479	0.0877796453626948	0	0	0.0496171288068865	0.058497102050358	0.0300664507149638	0.098	0.0873902815126673	1.04869079165493
TCGA.A6.2685.11A.01R.A32Z.07	0.030527068951844	0	0.0235887991819883	0.212972680635469	0	0.181049525129549	0.00610684486797333	0.0609882055651122	0.133689658029211	0	0	0.0100354159725599	0.041313512126217	0.0168621368656278	0.0458778101445258	0.126991028911651	0.0383077902900219	0	0.0589402741506157	0	0.012749249177634	0	0.118	0.0782967121049369	1.0683631400067
TCGA.A6.2686.11A.01R.A32Z.07	0.0391075026257493	0	0.0588247741690304	0.100495001324913	0	0.199557641563403	0	0	0.108281152274116	0	0	0.0398442005538241	0	0.0178705449841236	0.0230146772209682	0.254665339053751	0	0.000885910355191646	0.144037059553153	0	0.0134161963217759	0	0.045	0.148752546225779	1.02221640110391
TCGA.A6.2686.01A.01R.A32Z.07	0.0620569353212045	0	0.00949189316335261	0.220243185253733	0	0.0722475914990078	0.128028196755361	0.0506914583464047	0.0587328730846349	0	0.0547670777746527	0	0	0.0989840272996493	0.0593073980843213	0.106294523336964	0.0418046499788403	0.00513495979529486	0	0.0121792323391567	0.0153943804654279	0.00464161750199514	0.0649999999999999	0.116937743862218	1.04158711112211
TCGA.A6.3807.01A.01R.1022.07	0.0172198175068986	0	0	0.110317972741804	0	0.074790827089444	0.0451681673962883	0.132969171268133	0.00396560566219543	0	0.0017943855973295	0.00977978987550573	0	0.128477927276195	0.0904480627399713	0.169345610110069	0.00170289210731673	0.00229232180712642	0.0219109194857558	0	0.094498032707697	0.0953184966282695	0.443	0.00762733287928451	1.0826810749707
TCGA.A6.3808.01A.01R.1022.07	0.11997676087734	0	0.0103955836506961	0.0264729516224984	0	0.126183293459615	0.00688654931032386	0.0508583176405338	0.0470299907644088	0	0	0.0366450574193504	0	0.201840300880294	0.0665733582914302	0.134061374504578	0.0129318152935361	0	0	0.110115528912661	0.0180765640762061	0.0319525532965299	0.043	0.15335140493011	1.02563971349567
TCGA.A6.3809.01B.04R.A277.07	0.0696352368740598	0	0.013076887366858	0.0247446610416489	0	0.316125050087566	0.0256913837613315	0.0313390884680254	0	0	0.0145074001039006	0	0	0.0333331802593691	0.0515012304842389	0.122557330060103	0	0.0461322458790511	0	0.188415213430115	0.014815825769274	0.0481252664144587	0.0639999999999999	0.117910201049511	1.04163647758453
TCGA.A6.3809.01A.01R.1022.07	0.0202461424879365	0	7.33524343618119e-05	0.0752317180058209	0	0.148716221688832	0.0651712692541313	0.0998656362799607	0.0146873836339714	0.00526302528694268	0.00136961875483764	0.0186975603572734	0	0.0885013145026473	0.0890982855652356	0.22882754024888	0.0237338205323572	0	0	0.0971775760515998	0	0.0233395349152125	0.257	0.0371444093513307	1.0719777792997
TCGA.A6.3809.01A.01R.A278.07	0.00841575313765429	0	0.00653924390446229	0.0700231707093383	0	0.191219212607176	0.151032297837508	0.0199478577092673	0	0.0112609330634166	0	0.000566057476627663	0	0.137331022376927	0.106677435186701	0.188975444200516	0.00622827436525513	0	0	0.0451054131322051	0.0102146333799348	0.0464632509130102	0.274	0.033909995054123	1.07208087259637
