"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa01230","Biosynthesis of amino acids","26/1355","75/8165",0.000103700745601771,0.0011476215846596,0.000847799078077639,"3417/2805/226/7167/2597/6472/5831/7086/5832/50/2023/5315/2752/2026/5230/5211/2027/29968/445/5634/3421/2875/27430/4144/230/29920",26
"hsa05133","Pertussis","26/1355","76/8165",0.000133139548275612,0.00142588161379042,0.00105336213066953,"713/714/712/4615/5603/836/716/2353/3725/805/2773/387/3689/1072/29108/653509/715/717/808/3394/4843/3569/834/710/3688/4790",26
"hsa04672","Intestinal immune network for IgA production","19/1355","49/8165",0.000164925964368287,0.00170830586243964,0.00126200147732542,"8741/3122/3118/3108/5284/3115/3127/3119/3113/3109/9020/7852/7040/3117/3123/6387/3569/942/3695",19
"hsa05100","Bacterial invasion of epithelial cells","26/1355","77/8165",0.000169801486326832,0.00170830586243964,0.00126200147732542,"3611/60/10096/2017/6714/10094/71/387/3059/4233/79767/999/10109/10459/10093/8976/23607/1499/998/10095/7414/10092/3688/391/1495/1213",26
"hsa05150","Staphylococcus aureus infection","30/1355","96/8165",0.000267229610922456,0.00260941855371339,0.00192769347817127,"3880/713/3875/54474/714/3122/712/3118/2214/716/3108/3115/3127/3119/3689/3113/3109/2215/629/719/2212/3117/715/25984/3123/717/6404/1672/1675/2359",30
"hsa00620","Pyruvate metabolism","18/1355","47/8165",0.000292405233321225,0.00277367249893277,0.00204903516883746,"4191/223/219/5106/5105/3939/10327/5315/4190/3945/39/5160/128/4200/217/1737/1738/501",18
"hsa05145","Toxoplasmosis","33/1355","112/8165",0.000453584125669324,0.00418305360339488,0.00309020763979393,"3122/4615/5603/3118/3914/836/3108/3459/3115/3127/3312/54205/2773/3119/6772/3113/3109/3909/7040/3117/3303/3655/3304/3123/598/4843/330/3310/3688/3918/3908/4790/3949",33
"hsa03060","Protein export","11/1355","23/8165",0.000488316449353372,0.00428002187639081,0.00316184241344026,"3309/6731/28972/6726/10952/29927/9789/6729/6727/23480/6728",11
"hsa04110","Cell cycle","36/1355","126/8165",0.000489882021996539,0.00428002187639081,0.00316184241344026,"7534/4176/3065/4609/9133/9232/10274/991/23595/8243/983/4172/246184/8454/9184/7040/6500/10971/10459/8697/51529/25847/595/51434/5000/4085/5925/699/1026/5001/4175/7529/2810/891/1022/25",36
"hsa05169","Epstein-Barr virus infection","52/1355","202/8165",0.00054410595049462,0.0046318762965183,0.00342177291404174,"3122/3627/4938/4615/5603/3118/836/3065/960/4609/3108/3115/3135/3725/578/3127/3516/54205/3119/5707/6772/567/3113/3109/9636/9020/5713/2923/3117/5705/6850/916/9641/3105/3123/965/5704/595/5717/915/811/10379/5925/864/5708/1026/5714/3569/919/3107/4790/10213",52
"hsa05330","Allograft rejection","15/1355","38/8165",0.000635544006976449,0.00527501525790453,0.00389688825330297,"3122/3118/3108/3115/3135/3127/3119/3113/3109/3117/3105/3123/3002/942/3107",15
"hsa05332","Graft-versus-host disease","16/1355","42/8165",0.000673186439606311,0.00545116824266574,0.00402702029340874,"3122/3118/3108/3115/3135/3127/3119/3113/3109/3117/3105/3123/3002/3569/942/3107",16
"hsa00330","Arginine and proline metabolism","18/1355","50/8165",0.000702392059220957,0.00555224199193709,0.00410168796487426,"2805/548596/223/5831/219/1159/5832/1152/6611/4942/6303/4128/4843/1160/55748/29920/217/501",18
"hsa04940","Type I diabetes mellitus","16/1355","43/8165",0.00090932771711711,0.00702085586239257,0.00518661831305475,"3122/3118/3108/3115/3135/3329/3127/3119/3113/3109/3117/3105/3123/3002/942/3107",16
"hsa00280","Valine, leucine and isoleucine degradation","17/1355","48/8165",0.00121115277546241,0.00913869821485273,0.00675116260006559,"3158/223/219/3032/3028/3033/39/11112/10449/259307/5019/1892/217/56922/1738/501/1962",17
"hsa04142","Lysosome","36/1355","132/8165",0.00124951771557418,0.00921866403490284,0.00681023690593647,"4074/2629/1508/968/8763/1512/10053/1513/7805/967/410/5660/9516/5538/427/2720/54/1509/5476/10947/2519/2517/1200/9741/533/4668/9476/162/4758/1174/1075/1520/8906/23163/1213/3988",36
"hsa04670","Leukocyte transendothelial migration","32/1355","114/8165",0.00136139422263224,0.00982571482421528,0.00725869230831376,"7070/1366/1535/10398/7430/5603/60/1365/9075/1364/71/2773/387/3689/7412/7852/5880/4688/4318/50848/103910/1500/1499/2185/998/81/7414/6387/3688/1536/7408/1495",32
