,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
DHH,0,0,0,0,0,0,0,0,0,0,0,0,0.174444,0,125.385,0,0,0,0,0,0,0,0,0,0,0,0
DHODH,0.0535548,41.0226,0.0859116,0.0830769,0.0587825,1.15743,38.7782,0.500228,0.203257,0,0,0,0.797999,0,0.483039,0.470813,0,0.226138,5.5413,0,0,0.256361,33.7457,0,3.28652,0,79.9176
DHPS,2.64651,460.172,0,102.01,272.502,1.07986,512.708,22.0857,89.6739,0,1472.63,0,0,0,1.90735,0,0,0,0,0,0,0,0,0,0,4.77399,261.814
DHRS1,698.784,0.622512,0,0.437807,0,0.152471,0.0881025,2.78669,0.178796,0,0,0,0.35496,0,1.43737,0,0,4.42417,13.1195,0,0.131973,0.762773,5.94923,1.24387,0.105038,0,21.9021
DHRS11,0.136898,0,0.0668653,36.306,8.2973,0.232557,0,0.89372,0.205444,0,0,0,1.1903,0,0,0,0,0,0.518136,0,0,0,0,0,0,0,68.8583
DHRS12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.808,0,0,365.555,0,0,0,0,0,0,0,0
DHRS13,0,0,0,0,0,0,0,0,0,0,0,0,0.769119,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1953
DHRS2,0,0,0,24.3838,0,0,0,0.120024,0.0813928,0,0,0,0.637471,0,0,0,0,0.132029,0.358352,0,1.31946,0,1.78196,1.39396,0.147019,0,0
DHRS3,0.422445,61.8921,87.0582,51.4043,147.156,0.41724,81.8775,17.5298,103.431,0,397.036,4.20337,1.07878,3.9668,218.104,3382.17,0,0.593526,0,1.82229,0,162.349,0,0,29.8773,1.37636,15.784
DHRS4,44.4841,0,0,0.648334,0.227164,0,135.458,3.13613,0,0,0,0,0.581141,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5671
DHRS4-AS1,93.166,50.6001,0.0299232,12.57105,0,0.453261,0.142969,0.313082,0.0623985,0.2953995,0,0,1.23558,0,6.16345,0,1.2305,1.62782,20.64575,2.17635,8.50215,1.11307,12.9838,0.37508,5.5388,13.92535,34.3568
DHRS4L2,0,0,0,0,25.341,0.246427,22.4062,0.496026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6805
DHRS7,459.546,156.55,228.657,264.808,173.977,910.537,275.951,251.362,76.7651,1.67407,10.8732,0,2.56332,0,715.626,146.594,1.97953,1.06706,14.9776,0.382821,6.13281,12.7062,28.8962,0,6.42093,1.17889,189.928
DHRS7B,0.12189,210.29,0,40.2698,0,1.16119,464.69,1.03308,101.062,0,0,1.16918,1.04285,3.13331,113.64,907.867,3.95507,2.85697,2.1655,1.17399,1.50695,1.11751,2.58401,0.455357,3968.13,0.519871,222.907
DHRS7C,0,0,0,0,0,0,0,0,0,0,0,0,0.294771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHRS9,267.564,0,0,58.9136,0,478.563,1.093,1.97277,111.377,0,0,0,0,0,0,0,0.104267,173.872,1.33045,0,0,0,0.184763,0,0,0,0.135556
DHRSX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52036,1.980835,1.93587,0,0,0,0
DHTKD1,0.0181755,0,0,10.8252,0,0.181649,0.162474,0.218051,1.92364,1.60333,0,0,0.310027,0,93.8195,0,8.05796,2.30888,7.02936,0.795539,1.69645,0.539555,7.78927,0.474695,0.144803,0.0715898,4.87414
DHX15,8.23679,89.5981,0.20069,128.25,0.109621,0.932209,199.403,5.384,111.521,0,0.0961573,0,1.01774,0.0805082,16.2701,60.9446,0,11.5345,6.04966,1.66406,0.197865,0,2.94313,0,0.133872,0,322.87
DHX16,0,0,4.31978,0.0840332,281.399,0,57.0831,0.297287,0.379244,0.264896,0,0,0.383177,0,0,57.8782,0,0,0.545951,0,0,0,0,0,0,0,63.6634
DHX29,0,0.351466,64.5357,0,36.7517,2.79442,2.20077,0,42.1345,0.0907664,0.285667,0,0,0,0,120.349,0.459807,0.12476,0,0,0.0824437,0,0,0,0.378124,0,84.8412
DHX30,0.0301594,0.0808924,0,0,22.87,0.245862,0,0.0845662,26.6645,0,0,0,2.01128,256.955,158.656,0,0,16.3522,5.45526,0.498913,0,0.895157,3.77205,721.544,41.5755,0.650586,156.684
DHX32,0,0.127657,1.97382,3.7205,0,0.109028,0,5.61338,2.59155,0,3.47609,0,0.12425,0,8.14302,10.8069,0,0.223056,0.20378,0,0,0,0,0,0,0,43.733
DHX33,2.96301,0,0,0.0397369,0,0.162451,0.0220639,0.0369605,7.07996,0.0843022,0.107286,493.793,0.411022,0,0.336292,0.186235,0.918373,0.236661,0.903956,0.076,1.14915,0.131014,0.53179,0.119421,0.0615929,0.135442,55.7709
DHX34,84.7911,0,0,11.9982,0,0,0,0,0.0568317,0,0,0,0.639235,0,0,0,0,0,0,0,0,217.85,0,0,0,0,27.2685
DHX35,0,0.034232,0,25.8453,64.3693,1.42605,0.0427948,0.676796,34.9028,0,0,0,0.579633,0,0,0,0.213392,1.71819,0.509437,0,1.12981,0.124652,4.85343,0,0.110416,0,14.4942
DHX36,142.156,0,0,0.0300985,3.00228,0,0,0.436219,0.708302,1.21933,11.6567,0.25168,2.16402,0,120.377,1.72912,0.641518,16.5229,10.5589,0.245421,0,4.65467,4.61491,0.0989123,264.018,1.25186,60.8721
DHX37,100.129,57.3645,53.1775,0,0,0,0,1.61409,1.62315,0,251.724,0,0.643742,0,0,0,0.649881,0.129156,49.3718,0.442889,0.654241,0,1.33139,0,0.964087,0.699499,27.853
DHX38,0.184483,247.824,0,0,92.9389,0,0,1.398,6.7837,0,0,0,1.10691,0,0,207.584,0,0,0.454934,0,0,0,0,0,0,0,52.481
DHX40,0,0,0,0,0,0,0,0.0887233,28.3694,0,0,0,0.12845,0,44.1518,0,0,0,0,0,0,0,0,0,0,0,15.2592
DHX57,0.845104,0.064523,24.4025,0.101243,0.0450312,0.182622,0.0298387,0.462938,0.0770463,0.171116,0,0,9.46856,0,36.2615,0.185736,0.0772198,1.15354,0.633481,0.132986,0.464329,0,8.42577,0.521023,0.192513,0,5.27405
DHX58,0,0,0,0,0,0,0,0,55.6747,0,0,0,0.887108,2515.77,35.4919,0,0,0,0,0,0.762063,0,0,0.897684,0,0,0
DHX8,70.5839,0.0255183,115.351,72.6991,0,0.336687,0,88.977,0.215835,0,2365.15,0,2.2863,0.0885392,37.6441,0.0483459,0,0.831104,4.08327,2.0954,0.0565974,0.0538088,2.80205,0.204381,2.37579,0,143.406
DHX9,0,0.148386,3.28727,43.2083,23.7393,31.9575,247.606,29.5588,134.567,0,0.148218,0.287539,0.211694,2136.4,151.303,0,0,1.43625,0,0,2.66117,0,0.371178,0.27981,0.552336,0,414.366
DIABLO,123.941,130.208,172.133,63.3335,247.405,0.60533,0.334732,39.0537,72.332,0.220667,1053.12,0.393307,2.65496,473.391,129.842,0.125479,3.46506,5.81867,14.8806,14.0586,4.12166,0.486749,52.4585,0.275787,1.16938,0,331.89
DIAPH1,130.194,0,0.676639,0.0757115,32.1051,25.951,2.22965,0.674485,0.680781,0.201168,0,0,1.09913,0.411836,165.699,109.299,0.178095,0.4837,0,0.144521,0.186483,0,0.141807,0.147453,0,0,121.746
DIAPH2,0,0,0,10.4043,3.94542,0.0684706,39.776,0,0.0184565,0.0428756,0,0,0.270687,1.2678,0,0,0,0,0,0,0,0,11.0915,0,0,0,0
DIAPH2-AS1,0,0,0,0.0876743,0,0.178854,0,0,0,0,0,0,0.645041,0,0,0,0,0,4.13168,1.15388,0,10.3656,14.7749,0,3.74954,2.94852,0
DIAPH3,0.0242566,0,17.5312,0,16.9191,0.0238015,0,5.92083,0,0,0,0,0.150559,0,0,0,0,0,0,0,0,0,0,9.97732,0,0,29.5626
DIAPH3-AS1,0,0,2.2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25026
DIAPH3-AS2,0,0,0,0,0,0,0,0,0,0,0,0,2.36695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICER1,6.06599,2.69136,49.4579,0.011608,0,0.0535976,0,0.0344039,0,0.147941,4.12947,0,0.252014,0,0.0507314,0,0.0277488,185.192,8.53863,0,0,0,0.217209,0,0,0.0624822,42.1075
DICER1-AS1,0.0644765,0,0,0.469468,0.0903182,4.07132,0.0862434,0.61544,0.562958,0,0,0,0.845444,0,0.267118,0,0.135948,10.5013,4.16258,0.694454,7.8584,0.405323,10.352,0.285422,10.9927,2.21118,1.53335
DIDO1,0.0578125,0,2.37376,3.43257,100.109,29.12,5.16061,13.5936,0.0760834,0,0,0,0.17138,33.836,2.00164,0.113804,0,0,0,0,0,0,0,0,0,0,7.51471
DIEXF,0,0,0,0.513205,0,0.255598,0.24947,0.742202,0.254836,0,0,0,0.85635,0,0.605954,1.18895,0.240282,0.844102,21.928,1.46536,1.12774,0.118248,8.4678,15.2642,0.210697,0,22.6111
DIMT1,18.8625,63.3968,0,13.2104,0,0,0,14.9117,0,0,0,0,1.94395,0,14.7205,0.535916,0.114857,0.62456,0,0,0,0,0,0,0,0,72.2526
DIO1,0,0,0,0,0,0,0,0,0,0,0,0,0.684641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO2,0.067277,204.773,46.4056,0,49.9642,105.59,0.465297,0,9.29166,0,0.0245878,0.022728,1.32972,0,0,0,7.98862,0,44.9694,0,2.54324,0,0,0,0,0,0
DIO2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0.245328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO3,0,0,0,0,0,0,0,0,0,0,0,0,0.138758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO3OS,0,0.17569,121.775,0,0,0,0,62.0077,0,0,0,0,0.328722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIP2A,0.196647,0.115474,0.398271,0.586879,0.224316,0.255619,0.261525,3.30475,4.48888,0,49.4624,0.444781,2.21698,85.1678,12.6825,1.90281,0.64561,14.5334,28.5055,1.42927,0.635199,2.22486,16.1117,7.02633,13.4578,0.252239,4.74937
DIP2A-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58787
DIP2B,0,0,0,1.17878,0,0.015362,12.9722,0.0846011,0.136131,0,87.4915,0,2.21178,0.0479912,0.0745556,30.2913,0.709234,4.29693,8.17211,5.80686,32.0086,0.422767,15.317,3.83002,5.46681,2.28109,3.50262
DIP2C,1.46132,0,0,0,0,0.0207022,0,0.0678546,0.0193256,0,0,0,0.179354,0,40.3836,0,0,1.58531,0.14594,0.104612,1.57533,145.745,0.988718,0,0.0493193,0,0.124873
DIRAS1,0,0,0,0,0,0,0,0,0,0,0,0,0.885603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRAS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRAS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRC2,0,0,0,0,4.32006,0,0,0,0.0428029,0,0,0,0.150062,0.165869,0,0,0,0,0,0,0,0,0,0,0,0.105594,41.4808
DIRC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS3,0.108976,0.0305176,8.55433,8.79984,57.4619,0.0414293,9.83502,26.3027,1.45775,0.234681,0.0773688,327.989,0.585308,0.0919394,0.306548,0.129403,0.081284,0.587621,10.8023,0.233542,0.151955,1.58491,7.90342,0.208905,33.162,0,36.8339
DIS3L,0.13579,0,0.0377026,0.129014,0.335844,1.08258,0,3.84842,21.9496,8.30931,0.76707,0.178101,1.64959,0.681394,10.3381,19.1699,0.416091,48.4159,54.6068,29.9682,3.70127,1.81628,28.6963,7.61539,3.0244,0.0969432,46.8223
DIS3L2,0.500163,45.8519,0,0.1797,122.908,3.22379,191.219,4.79051,0.659263,0,0,0,1.13915,0,0.324325,0,0.292504,8.82174,5.96832,2.33637,0.678407,6.28392,18.6456,0.426753,30.2556,0.338687,35.8039
DISC1,0,0,0,0.0637688,0,0.221636,0,0.597058,0.0316041,0,0,0,1.07996,0,0,0,0,10.5637,3.3648,0.137846,0.231093,0,5.877,0.330825,0.200633,0,13.9641
DISC1-IT1,0.488752,0,0,0.884035,0.369072,0,0,6.11144,1.84333,67.5261,0,0,13.6785,0,0,0,0,0.704486,50.1876,6.50165,0,0.706609,174.101,0,0,193.498,4.64626
DISC1FP1,0,0,0,0,0,0,0,0,0,0,0,18.5231,1.27586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISP1,0.643778,2.61564,0,0.0144595,0,181.931,0.0467529,0.0203118,0.649594,0.0941261,0,0,2.04219,0,0,0,0.38051,0,1.80559,0,0,0,0.177678,0,0,0,3.34401
DISP2,272.354,0,0.0190156,0,0,0.564447,0,0.0263659,0,0,0,0,0.309956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIXDC1,0,0,0,0.187003,0,0.0836754,0,0,0.0272235,0.973831,0.0386548,0.0371487,0.208944,0.123097,361.35,54.4781,0.11216,0.0874315,0.328515,0.0881677,0,52.018,0.256546,0,96.4492,0,6.16938
DKC1,210.937,11.9513,203.299,166.281,91.8388,1.8491,675.287,301.006,89.6305,0.182314,2.33899,0,0,0,1.60895,0,0.116494,13.5919,4.83729,0.623852,0,1.51973,3.84153,14.2018,0,5.00392,484.724
DKFZP434A062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DKK1,0,0,0,0,0,0,0,0,0,0,0,0,0.382369,0,0.187235,0,0,1.15509,0,0,0,0,0,0,0,0,275.462
DKK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DKK3,67.5029,0,0.331732,0.0500816,17.5174,0.731104,386.568,0.281128,0,1.96936,169.461,298.113,1.96385,1818.81,2539.43,2618.45,1.36104,1.06783,0.477176,3.97118,3.14367,3305.63,1.44337,0.943142,6.72496,0.751003,0.299027
DKK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DKKL1,0,0,0,0,0,0,0,0,0,0,0,0,0.749718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLAT,0.213695,80.5448,70.9354,2.82357,0,0,0,0,0.0170115,0,0,0,0.258607,0,0.0733065,0,0,0,0,0,0.238811,0,0.161698,0,0,0,29.6411
DLC1,0,0,0,0,0,0,0.0156312,0,21.59,0,179.789,0,2.898,22.4541,373.171,77.177,0,0,171.906,95.6104,0.0513859,0.438622,0.226507,0.209365,1.7387,0.199429,0
DLD,176.634,0,0.153717,0.520697,126.295,49.4129,205.52,81.2901,124.282,0.170959,0.215034,0,0.739691,520.462,120.998,0,0,0.325016,0.259775,0,1.24757,0.318217,0.326879,0,0.414569,0,126.156
DLEC1,0,0.0379892,0,0,0,0,0,0.102939,0.0552427,0,0,0,0.884065,0,0,0,0,0,0,0,0.160144,0,0,0,0,0.313326,0.183537
DLEU1,14.769,10.2985,2.1321,88.4071,6.85274,0.575845,0,8.13477,43.2496,0,0,0.822974,0.796277,0,1.71939,0.885245,1.63592,0,27.336,3.32289,0,1.18412,13.9845,0.876458,0.120638,9.0813,301.498
DLEU2,0,0,0,0.278821,0,0,0,0,22.012,0,0,0,0.690987,0,0,0,0,0,0,0,0,0.553966,86.8836,0.247771,0,0,6.69144
DLEU2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLEU7,0,0,0,6.21564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882479,0,0,0,0.485752,0,0,0,0
DLEU7-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0.398929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLG1,243.203,43.2877,0,26.5907,0,28.1508,0.148754,1.77244,4.68593,0,0,0.0244791,2.85224,0.0183406,1.8242,6.54443,0.218845,3.61404,4.73737,8.77588,9.01953,517.579,2.85061,0.615062,3.44175,0.218168,87.6353
DLG1-AS1,0.0614041,3.16032,0,0,0,0,0,0,0,0,0,0,0.22827,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69199
DLG2,0,0,0,0,0,0,0,41.8194,0,0,0,0,1.63386,0,0,0,0,0,0.125231,0,0,0,0,0,0,0,0
DLG3,8.03734,18.5661,33.2856,47.5365,0,0.0641021,96.2705,0.0431813,0.140305,0,0,0,0.347243,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9488
DLG3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLG4,0,0,0,0,0,0,0,0,0,0,0,0,0.178835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLG5,0.0243797,12.8057,5.26811,1.49479,31.5792,0.0261691,0,2.37465,3.676,0.104416,0,0,0.113933,0,0.068617,51.631,0.236161,1.71694,4.98078,1.58371,0.10714,0.0681003,0.916388,0.185631,1.36682,0.0580541,4.20131
DLGAP1,0,0,0,0,0,0,0,0.194799,0,0.297016,0,0,1.65878,0,0,0,0,0,0,0,0,0,182.327,0,0,0,0
DLGAP1-AS1,0,0,0,0.199249,0,2.30389,612.093,0.619902,0.928068,0,0,0,0.457032,0.43863,0.221572,0,0,2.1454,0.88198,0,0,0.223759,0.220165,0,0,0,1105.32
DLGAP1-AS2,0,0,24.383,0,0,0.850689,0,0.765971,6.35192,0,0,0,0.735178,0,0.147989,0,0.157151,0.23024,5.14553,6.02014,0,3.92875,9.22281,3.1276,0.405937,21.9265,1.6687
DLGAP1-AS3,0,0,0,0,0,0,0,0,0,0,0,0.27346,0,0,0,0,0,0,80.4372,0,0,0,0,0,0,0,0
DLGAP1-AS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP1-AS5,0,0,0,0,0,0,0,0,0,0,0,0,0.959765,0,0,0,1.00366,0.993488,0,0,0,0,0,0,0,0,0
DLGAP2,0,0,0,0,0,0,0,0,0,0,0,0,1.31571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP3,0,0,0,0,0,0,0,0,0,0,0,0,0.971381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP4,395.088,123.776,0.0599883,8.47012,0,67.942,0,0.0416357,0.876352,0,20.4097,0,0.122861,1.12692,16.9376,43.7782,0,0,0,0,0,0,0,0,0,0,63.8309
DLGAP5,224.426,0.128492,0,13.5064,0,0.0385108,0,0.136589,0.0198295,0,0,0,0.103382,0,0.437208,0,0,0,0.880476,0,0,0,70.2671,0,11.9045,0,47.307
DLK1,0,0,0,0,0,0,0,0,0,0,0,0,0.21656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLK2,0,0,0.0481036,0.0903687,0.0663944,0,0,0.255153,0.0462274,0,0,0,0,0,0,0,0,1.19004,0.190893,0,0,0.670848,0,0,0,0.261025,1.29152
DLL1,0,0,0,0,0,0,0,0.0830285,23.4141,0,15.8267,0,0,0,0,12.0493,0,0,0,0,0,0,0,0,13.8904,0,0
DLL3,0,0,0,0,0,0,0,0,0,1.3628,0,0,2.07636,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0374
DLL4,0,0.0380819,0,0.241254,0.555525,0,0,0,0.0549992,0,0,0,0.492467,176.559,1.39844,2.90137,0,0,0,0,0.148868,0,0,0.185955,0,0,0.18383
DLST,1.56114,0,0.529187,4.43633,6.69458,6.89996,0,7.10768,3.61713,0,0,0,4.33022,0,1.30064,1.64134,2.03554,72.2961,64.2843,20.6528,4.68679,48.4594,111.051,137.546,3.10813,2.64714,40.5299
DLX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLX2,0,0,0,0,0,0,0,0,0,0.395267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904039
DLX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLX5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLX6,0,0,0,0,0,0.30827,0,0,0.572242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLX6-AS1,0,0,0,1.75112,0,1.75412,0.0412587,3.26163,1.1587,0,1.24819,0,4.37073,0,0,0,0,13.0118,58.8585,2.85904,142.962,0.0556746,44.2051,0,6.86857,4.54113,2.46674
DMAP1,275.975,11.2611,0,0.0162841,0,11.0903,0,1.15871,0.0311998,0,0,2.47386,0.315037,0,64.5346,0,0,0,4.206,0,0,0,0.253707,0,0,0.0816155,73.0413
DMBT1,0.0255883,0.0544737,0.0814882,45.0066,0,0.148696,0,5.40019,0.926725,0,0,0,0.083766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMBX1,0,0.296525,0,0.0888957,0,0.684584,0,0.605283,0.603346,0,0,0,0.577646,0,0,0.427414,0.301881,1.31226,2.12224,4.6237,11.6659,1.01576,1.88229,10.3164,9.76223,0.169462,0
DMC1,1.18821,0.5658,110.438,0.118044,0.319741,0.184323,0,0.284675,0,0,0,0,0,0,0,0,0.135156,3.25022,10.6059,1.85194,0.165217,0.136676,17.4539,0,0,0,0.4904
DMD,0,0,0,2.13205,0,0,0,1.59528,0.922349,0,72.4681,0,0.865049,0,0.0586619,0,22.7136,125.708,149.105,3.49676,0.154289,0,91.4593,0,14.0496,0,37.8108
DMGDH,0,0,0,0,0,0.340145,0,1.4211,0,0,0,0,0.729668,0,0,0,0,2.26073,33.0777,17.6366,0.876065,0,22.1336,0,0,0,0.935542
DMKN,241.887,0,197.577,0.0273863,234.892,0,0,80.7439,17.4239,0.174925,0,0,5.04751,0,0,0,0.124252,5.43566,6.3934,0,0.134195,0,1.25489,3.23477,0,6.02776,1785.05
DMP1,0,0,0,0,0,0,0,0,0,0,0,0,0.275454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMPK,0,0,20.0817,0,0,0,0.135617,0,0.087725,0,0,0,0,0,11.9166,0,0,1.51738,24.1877,7.70738,2.69946,0,0,0,12.4926,0,4.86883
DMRT1,0,0,0,0.101069,0,0,0,0.0706037,0,0,0,0,0.201392,0,0,0,0,0.252873,1.76051,0,0.530906,0,0.931986,0,0,1.85521,0
DMRT2,0,0,0,0,0,0,0,0,0,0,0,0,0.525939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMRT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMRTA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36774
DMRTA2,0,0,0,0,0,0,0,0,0,0,0,0,0.126156,0,0,0,0,0,0,0,0,0,3.30136,0,0,0,0
DMRTB1,0,0,0,0,0,0,0,0,0,0,0,0,0.192137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMRTC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMRTC1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMRTC2,0,0,0,0,0,0,0,0,0,0,0,0,0.0966006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMTF1,188.232,0.164262,0.113448,0,0.0899078,0,8.66147,1.46935,0,0,0,0,1.23429,0,0.107926,0,0,0,1.495,0,0.471314,1.86212,0.427423,0,0,0,70.0577
DMWD,0,0.188354,0.289029,0.996124,0,5.5786,0,3.90789,0.919055,0,936.069,1.61186,0.694528,247.911,16.7571,0,0,0.845572,18.8687,11.588,15.8143,13.1483,18.6623,1.39015,4.07372,0.895146,60.8169
DMXL1,0.0225552,0,0.0553609,0,0,0.0273763,0,9.08849,25.7619,0,53.9307,0,2.21416,0,3.09471,0.0257041,0,0.186114,0,1.00182,0,0.0592743,92.4084,0,0.0458093,32.766,4.57756
DMXL2,0,0.22149,18.7522,0.286278,0,0.145376,0,0.163114,0.0488563,0.0390955,20.1418,0,0.908431,0,0.143061,14.1552,0,1.05692,3.9465,2.47728,0,0.338212,26.7074,3.15565,0.843031,0,41.6306
DNA2,0,0,0,0,0,0,0,0,0,0,0,0,0.0682895,0.780521,0,0,0,0,0,0,0,0,0,0,0,0,23.7089
DNAAF1,0.0541021,0.0574414,0,0.580108,0,0.635345,0.0507416,2.42506,1.16831,0,12.7058,0,0.73068,0.144617,0.420228,0,6.84217,73.6052,21.1505,20.8599,11.7963,0.718802,23.4263,0.282523,2.99777,0.82001,0.739378
DNAAF2,0,14.5598,0,0,0,0,0,0.187861,0,0,0,0,0.378997,0,0.333234,0,0,1.48094,0,0,0,0,0,8.32767,0,4.99313,27.9087
DNAAF3,0,0,0,0,0,0,0,0,0,0,0,0,0.837842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAH1,0,0,0,0,0,0,84.7962,0.101676,0,0,0,0,0.129743,0,0,75.1477,0,0.120596,0,0,0,0,0,0,0,0,0
DNAH10,0,0,0,0.191774,0,0,0,0,0,0,0,0,0.673112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAH11,0,0,0,0,0,0,0,0,0.658545,0,0,0.255056,0.0379453,0,0,0,0,0,15.2076,0.419842,0,0,0,1.75342,0,0,0.719377
DNAH12,0,0,0,0,0,0,0,0,0,0,0,0,0.653567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAH14,2.62896,0.172972,0.0230139,0.334272,0.165959,0.0559171,0.0133408,46.3073,0.034898,0,0.0245733,0,3.30993,0.0208061,0,0,0,0.950541,9.44697,0.241785,0.259325,0.138685,1.50262,0.182556,34.643,0.0379921,25.0255
DNAH17,0,0,0,0.226521,0.132329,0.0708736,0.0739138,0.216937,5.479,0,0.374703,0.335843,0.440664,0,0.181524,0,0,0.392567,4.87144,0.348159,0,0,3.21561,0,0.251703,0.441631,0.170573
DNAH2,0,0,0.0166062,0.0857969,0,0.0393575,0.0654471,3.12846,0.467085,0,0,0,1.13265,0,0,0,0,3.82777,7.70093,8.58863,0.525859,0,7.7349,0,0.335089,1.20886,0.171748
DNAH3,0,1.53899,0,15.3384,0,0,0.0717565,0.312921,0.260724,0,0,0,0.396996,0,0,0,0.849106,1.59469,3.61133,0.302863,0,0,5.44419,0,0.126902,0,6.27475
DNAH5,0,0,0,0,0,0,0,0,0,0,0,0,0.95477,0,0,0,0.875709,0,0.81136,0,0,0,0,0,0,0,6.30782
DNAH6,0,0,0,0,0,0,0,0,12.9504,0,0.0277281,0.0167207,0.165907,0,0,442.188,0,0,1.61496,0,0.820538,0,4.32406,0,0.574026,0,0
DNAH7,0,0.308188,0.0153696,2.28516,0.0204062,0,0,0.116411,0.369699,0.0482941,0.0240872,0,0.494281,0.169094,0.0543346,0,0.487247,0.462532,0.875826,1.24432,40.3078,0.0522679,3.78717,0,0.0205044,0.0375164,0
