,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
SLC30A8,0,0,0,0.208447,0,0,0,0.308806,0.414283,0,0,0,2.56594,0,0,0,0.374714,1.27749,6.22251,0.536083,0,0,0.973367,0.0515475,0,0.235757,1.23085
SLC30A9,7.24664,5.43493,59.2966,0.118182,136.645,0.071133,0,46.5923,44.4965,0,0,0,0,0,29.8913,28.0882,0,0.172455,0,0,0,0,73.5567,0,0,0,6.27591
SLC31A1,30.4351,210.919,11.1026,58.2766,26.8322,0.67191,0.0248793,24.415,187.488,0.182575,0,0.0496264,0.525949,0,0.0684427,0,0.6334,11.2556,9.77801,9.61766,0.891801,0.681202,23.6245,4.974,44.4231,0,82.0352
SLC31A2,0,0,0,0,0,0,0,0,13.8109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC32A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC33A1,0.0384159,0.0633834,8.35718,25.1423,6.59401,0,0.514084,1.07407,31.6691,0,0,16.4847,0.258823,0,0,10.3486,0,0,0,0,0,0,0,0,0,0,7.29601
SLC34A1,0,0,0,0,0,0,0,0,0,0,0,0,0.387154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC34A2,0.0716091,0.051658,0.537216,0,0.0561055,0,0,0.0264452,0.180303,0,0,0,0.81382,0,0,0,0,0,6.95874,0,0,0,0.280246,0,0,0,0
SLC34A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35A1,116.124,78.7572,0.131241,29.0313,0.163381,0.445833,0.115808,0.663142,0.177577,0,0,0,0,0,0.373566,0,0,0,0,0,0,0,0,0,0,0,59.9567
